#CHROM	POS	LOCUS_ID	Variant_type	DP	QUAL	MQ	FQ	HDR/LCR	Validation	Error	Coding
PyYM_04_v1	841698	4_5	SNP	302	222	52	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	841715	4_5	SNP	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_04_v1	841736	4_5	SNP	310	222	51	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	841742	4_5	SNP	304	222	50	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	841769	4_5	SNP	289	222	52	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	841784	4_5	SNP	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_05_v1	441648	5_1	SNP	319	222	53	-282	.	TP	FALSE	CODING
PyYM_05_v1	441696	5_1	SNP	369	222	57	-282	.	TP	FALSE	CODING
PyYM_05_v1	441699	5_1	SNP	371	222	57	-282	.	TP	FALSE	CODING
PyYM_05_v1	441807	5_1	SNP	253	222	57	-282	.	TP	FALSE	CODING
PyYM_06_v1	1010533	6_1	SNP	339	222	50	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010560	6_1	SNP	308	222	42	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010575	6_1	SNP	284	222	34	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010577	6_1	SNP	274	222	33	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010583	6_1	SNP	291	222	31	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010593	6_1	SNP	285	222	29	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010601	6_1	SNP	293	222	29	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010612	6_1	SNP	304	222	34	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010630	6_1	SNP	318	222	41	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010643	6_1	SNP	324	222	44	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010656	6_1	SNP	330	222	47	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010678	6_1	SNP	312	222	53	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010728	6_1	SNP	336	222	54	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010778	6_1	SNP	341	222	53	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010792	6_1	SNP	335	222	53	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010799	6_1	SNP	338	222	54	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010826	6_1	SNP	337	222	54	-282	.	TP	FALSE	INTERGENIC
PyYM_06_v1	1010851	6_1	SNP	349	222	51	-282	.	TP	FALSE	INTERGENIC
PyYM_07_v1	443415	7_1	SNP	77	140	27	-197	HDR	FP	TRUE	CODING
PyYM_07_v1	443440	7_1	SNP	77	127	25	-52	HDR	FP	TRUE	CODING
PyYM_07_v1	443451	7_1	SNP	126	188	25	188	HDR	FP	TRUE	CODING
PyYM_07_v1	443455	7_1	SNP	86	215	26	-86	HDR	FP	TRUE	CODING
PyYM_07_v1	443460	7_1	SNP	127	157	26	160	HDR	FP	TRUE	CODING
PyYM_07_v1	443469	7_1	SNP	155	198	26	196	HDR	FP	TRUE	CODING
PyYM_07_v1	443475	7_1	SNP	160	198	26	201	HDR	FP	TRUE	CODING
PyYM_07_v1	443481	7_1	SNP	161	200	26	202	HDR	FP	TRUE	CODING
PyYM_07_v1	443496	7_1	SNP	146	222	27	-282	HDR	FP	TRUE	CODING
PyYM_07_v1	443502	7_1	SNP	147	222	27	-268	HDR	FP	TRUE	CODING
PyYM_07_v1	443505	7_1	SNP	149	45	27	-105	HDR	FP	TRUE	CODING
PyYM_07_v1	443514	7_1	SNP	67	176	26	74	HDR	FP	TRUE	CODING
PyYM_07_v1	443516	7_1	SNP	66	153	26	-8.63	HDR	FP	TRUE	CODING
PyYM_07_v1	443517	7_1	SNP	163	171	26	38	HDR	FP	TRUE	CODING
PyYM_07_v1	443520	7_1	SNP	181	71	27	74	HDR	FP	TRUE	CODING
PyYM_07_v1	443540	7_1	SNP	203	220	27	115	HDR	FP	TRUE	CODING
PyYM_07_v1	443550	7_1	SNP	201	217	27	119	HDR	FP	TRUE	CODING
PyYM_07_v1	443572	7_1	INDEL	149	214	34	-183	HDR	FP	TRUE	CODING
PyYM_07_v1	443582	7_1	SNP	178	135	37	-157	HDR	FP	TRUE	CODING
PyYM_08_v1	453126	8_1	SNP	319	222	58	-282	.	TP	FALSE	CODING
PyYM_08_v1	453129	8_1	SNP	313	222	58	-282	.	TP	FALSE	CODING
PyYM_08_v1	453229	8_1	SNP	282	222	58	-282	.	TP	FALSE	CODING
PyYM_08_v1	453301	8_1	SNP	180	222	36	-282	.	TP	FALSE	CODING
PyYM_08_v1	453311	8_1	INDEL	150	214	31	-290	.	FP	TRUE	CODING
PyYM_08_v1	453323	8_1	SNP	122	222	29	-282	.	FP	TRUE	CODING
PyYM_08_v1	453401	8_1	SNP	NA	NA	NA	NA	.	FN	TRUE	CODING
PyYM_08_v1	453404	8_1	SNP	152	157	29	-282	.	TP	FALSE	CODING
PyYM_08_v1	453411	8_1	SNP	169	192	29	-282	.	TP	FALSE	CODING
PyYM_08_v1	453417	8_1	SNP	187	222	29	-282	.	TP	FALSE	CODING
PyYM_08_v1	453433	8_1	SNP	249	222	37	-282	.	TP	FALSE	CODING
PyYM_08_v1	453460	8_1	SNP	288	222	44	-282	.	TP	FALSE	CODING
PyYM_08_v1	453461	8_1	SNP	293	222	44	-282	.	TP	FALSE	CODING
PyYM_08_v1	453468	8_1	SNP	308	222	46	-282	.	TP	FALSE	CODING
PyYM_08_v1	453497	8_1	SNP	340	222	53	-282	.	TP	FALSE	CODING
PyYM_08_v1	921825	8_2	SNP	294	222	53	-282	.	TP	FALSE	CODING
PyYM_08_v1	921828	8_2	SNP	295	222	53	-282	.	TP	FALSE	CODING
PyYM_08_v1	921829	8_2	SNP	297	222	53	-282	.	TP	FALSE	CODING
PyYM_08_v1	921876	8_2	SNP	284	222	49	-282	.	TP	FALSE	CODING
PyYM_08_v1	921902	8_2	SNP	264	222	43	-282	.	TP	FALSE	CODING
PyYM_08_v1	921918	8_2	SNP	242	222	41	-282	.	TP	FALSE	CODING
PyYM_08_v1	921936	8_2	INDEL	187	214	30	-290	.	TP	FALSE	CODING
PyYM_08_v1	921984	8_2	SNP	243	222	40	-282	.	TP	FALSE	CODING
PyYM_08_v1	921985	8_2	SNP	245	222	40	-282	.	TP	FALSE	CODING
PyYM_08_v1	1037583	8_3	SNP	269	222	60	-282	.	TP	FALSE	CODING
PyYM_08_v1	1037650	8_3	SNP	292	222	54	-282	.	TP	FALSE	CODING
PyYM_08_v1	1037707	8_3	SNP	241	169	34	-282	HDR	FP	TRUE	CODING
PyYM_08_v1	1037712	8_3	INDEL	220	214	60	-82.5	HDR	FP	TRUE	CODING
PyYM_08_v1	1037724	8_3	SNP	90	132	29	-75	HDR	FP	TRUE	CODING
PyYM_08_v1	1037729	8_3	SNP	28	15.9	29	-33	HDR	FP	TRUE	CODING
PyYM_08_v1	1037730	8_3	SNP	28	15.9	29	-33	HDR	FP	TRUE	CODING
PyYM_08_v1	1037731	8_3	SNP	131	15.9	29	-33	HDR	FP	TRUE	CODING
PyYM_08_v1	1037766	8_3	INDEL	70	214	46	-173	HDR	FP	TRUE	CODING
PyYM_09_v1	383535	9_1	SNP	358	222	53	-282	.	TP	FALSE	CODING
PyYM_09_v1	383571	9_1	SNP	297	222	48	-282	.	TP	FALSE	CODING
PyYM_09_v1	383592	9_1	SNP	265	222	47	-282	.	TP	FALSE	CODING
PyYM_09_v1	383593	9_1	SNP	262	222	47	-282	.	TP	FALSE	CODING
PyYM_09_v1	383665	9_1	SNP	267	222	41	-282	.	TP	FALSE	CODING
PyYM_09_v1	383682	9_1	SNP	271	222	37	-282	.	TP	FALSE	CODING
PyYM_09_v1	383701	9_1	INDEL	248	94.7	60	-49.5	HDR	TP	FALSE	CODING
PyYM_09_v1	383713	9_1	SNP	196	199	29	194	HDR	FP	TRUE	CODING
PyYM_09_v1	383715	9_1	SNP	196	198	29	195	HDR	FP	TRUE	CODING
PyYM_09_v1	383719	9_1	SNP	197	185	29	188	HDR	FP	TRUE	CODING
PyYM_09_v1	383728	9_1	SNP	129	222	29	-161	HDR	FP	TRUE	CODING
PyYM_09_v1	383731	9_1	SNP	165	222	29	-161	HDR	FP	TRUE	CODING
PyYM_09_v1	383732	9_1	SNP	198	201	29	50	HDR	FP	TRUE	CODING
PyYM_09_v1	383738	9_1	SNP	208	167	29	-4.75	HDR	FP	TRUE	CODING
PyYM_09_v1	383743	9_1	SNP	143	222	29	-208	HDR	FP	TRUE	CODING
PyYM_09_v1	383744	9_1	SNP	150	200	29	38	HDR	FP	TRUE	CODING
PyYM_09_v1	383745	9_1	SNP	150	210	29	58	HDR	FP	TRUE	CODING
PyYM_09_v1	383746	9_1	SNP	150	222	29	-208	HDR	FP	TRUE	CODING
PyYM_09_v1	383750	9_1	SNP	185	65	29	68	HDR	FP	TRUE	CODING
PyYM_09_v1	383756	9_1	SNP	212	73	29	76	HDR	FP	TRUE	CODING
PyYM_09_v1	383761	9_1	SNP	202	150	29	153	HDR	FP	TRUE	CODING
PyYM_09_v1	383762	9_1	SNP	198	156	29	159	HDR	FP	TRUE	CODING
PyYM_09_v1	383767	9_1	SNP	179	222	29	-282	.	TP	FALSE	CODING
PyYM_09_v1	383776	9_1	SNP	208	222	34	-282	.	TP	FALSE	CODING
PyYM_09_v1	383786	9_1	SNP	231	222	38	-282	.	TP	FALSE	CODING
PyYM_09_v1	839399	9_2	SNP	233	222	57	-282	.	TP	FALSE	CODING
PyYM_09_v1	839413	9_2	SNP	223	222	55	-282	.	TP	FALSE	CODING
PyYM_09_v1	839421	9_2	SNP	219	222	54	-282	.	TP	FALSE	CODING
PyYM_09_v1	839442	9_2	SNP	213	222	53	-282	.	TP	FALSE	CODING
PyYM_09_v1	839494	9_2	SNP	176	222	36	-282	.	TP	FALSE	CODING
PyYM_09_v1	839504	9_2	INDEL	123	213	29	-249	.	FP	TRUE	CODING
PyYM_09_v1	854352	9_3	SNP	157	222	50	-282	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854361	9_3	SNP	162	222	51	-282	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854452	9_3	SNP	152	222	43	-282	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854453	9_3	SNP	150	222	43	-282	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854479	9_3	INDEL	110	179	37	-219	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854527	9_3	INDEL	85	211	32	-116	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854644	9_3	INDEL	74	214	49	-140	.	FP	TRUE	INTERGENIC
PyYM_09_v1	854653	9_3	SNP	64	113	34	-196	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854660	9_3	INDEL	58	102	29	-146	.	FP	TRUE	INTERGENIC
PyYM_09_v1	854692	9_3	SNP	56	142	37	-196	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854711	9_3	SNP	62	156	43	-211	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854725	9_3	SNP	76	159	43	-241	.	TP	FALSE	INTERGENIC
PyYM_09_v1	854726	9_3	SNP	76	159	43	-241	.	TP	FALSE	INTERGENIC
PyYM_09_v1	930000	9_4	SNP	131	222	60	-282	.	TP	FALSE	CODING
PyYM_09_v1	930037	9_4	SNP	151	222	50	-282	.	TP	FALSE	CODING
PyYM_09_v1	930072	9_4	INDEL	135	214	38	-201	.	TP	FALSE	CODING
PyYM_09_v1	930197	9_4	SNP	318	222	60	-282	.	TP	FALSE	CODING
PyYM_09_v1	930198	9_4	SNP	322	222	60	-282	.	TP	FALSE	CODING
PyYM_09_v1	930282	9_4	SNP	320	222	60	-282	.	TP	FALSE	CODING
PyYM_09_v1	930330	9_4	SNP	296	222	60	-282	.	TP	FALSE	CODING
PyYM_09_v1	930350	9_4	SNP	289	222	59	-282	.	TP	FALSE	CODING
PyYM_10_v1	96085	10_1	SNP	225	222	44	-282	.	TP	FALSE	CODING
PyYM_10_v1	96096	10_1	SNP	219	222	41	-282	.	TP	FALSE	CODING
PyYM_10_v1	96109	10_1	SNP	198	222	35	-282	.	TP	FALSE	CODING
PyYM_10_v1	96113	10_1	SNP	190	222	33	-282	.	TP	FALSE	CODING
PyYM_10_v1	96116	10_1	SNP	189	222	33	-282	.	TP	FALSE	CODING
PyYM_10_v1	96136	10_1	SNP	178	222	31	-282	.	TP	FALSE	CODING
PyYM_10_v1	96196	10_1	SNP	143	222	28	-282	.	TP	FALSE	CODING
PyYM_10_v1	96210	10_1	INDEL	129	155	26	-290	.	TP	FALSE	CODING
PyYM_10_v1	96239	10_1	SNP	294	222	44	-282	.	TP	FALSE	CODING
PyYM_10_v1	96257	10_1	SNP	334	222	48	-282	.	TP	FALSE	CODING
PyYM_10_v1	96331	10_1	SNP	425	222	57	-282	.	TP	FALSE	CODING
PyYM_10_v1	96332	10_1	SNP	421	222	57	-282	.	TP	FALSE	CODING
PyYM_10_v1	96408	10_1	SNP	383	222	51	-282	.	TP	FALSE	CODING
PyYM_10_v1	96414	10_1	SNP	386	222	50	-282	.	TP	FALSE	CODING
PyYM_10_v1	502536	10_2	SNP	265	222	54	-282	.	TP	FALSE	INTERGENIC
PyYM_10_v1	502736	10_2	SNP	233	102	56	-63	.	TP	FALSE	INTERGENIC
PyYM_10_v1	660499	10_3	SNP	307	222	50	-282	.	TP	FALSE	CODING
PyYM_10_v1	660505	10_3	SNP	307	222	50	-282	.	TP	FALSE	CODING
PyYM_10_v1	660572	10_3	SNP	245	222	44	-282	.	TP	FALSE	INTRON
PyYM_10_v1	660617	10_3	SNP	176	222	45	-282	.	TP	FALSE	INTRON
PyYM_10_v1	660651	10_3	INDEL	126	134	51	-290	.	TP	FALSE	INTRON
PyYM_10_v1	949737	10_4	SNP	286	222	42	-282	.	TP	FALSE	CODING
PyYM_10_v1	949738	10_4	SNP	284	222	42	-282	.	TP	FALSE	CODING
PyYM_10_v1	949764	10_4	SNP	300	222	48	-282	.	TP	FALSE	CODING
PyYM_10_v1	949765	10_4	SNP	304	222	48	-282	.	TP	FALSE	CODING
PyYM_10_v1	949824	10_4	SNP	353	222	57	-282	.	TP	FALSE	CODING
PyYM_10_v1	1134810	10_5	SNP	329	222	58	-282	.	TP	FALSE	CODING
PyYM_10_v1	1134857	10_5	SNP	372	222	52	-282	.	TP	FALSE	CODING
PyYM_10_v1	1134873	10_5	SNP	354	222	50	-282	.	TP	FALSE	CODING
PyYM_10_v1	1134920	10_5	SNP	318	222	50	-282	.	TP	FALSE	CODING
PyYM_10_v1	1134954	10_5	SNP	273	222	46	-282	.	TP	FALSE	CODING
PyYM_10_v1	1135003	10_5	SNP	227	222	36	-282	.	TP	FALSE	CODING
PyYM_10_v1	1135014	10_5	INDEL	191	108	60	-46.5	HDR	FP	TRUE	CODING
PyYM_10_v1	1135021	10_5	SNP	88	106	29	-96	HDR	FP	TRUE	CODING
PyYM_10_v1	1135023	10_5	SNP	88	106	29	-96	HDR	FP	TRUE	CODING
PyYM_10_v1	1135039	10_5	SNP	120	57	29	53.8	HDR	FP	TRUE	CODING
PyYM_10_v1	1135050	10_5	SNP	55	119	29	-90	HDR	FP	TRUE	CODING
PyYM_10_v1	1135053	10_5	SNP	21	119	29	-90	HDR	FP	TRUE	CODING
PyYM_10_v1	1135054	10_5	SNP	21	119	29	-90	HDR	FP	TRUE	CODING
PyYM_10_v1	1135055	10_5	SNP	23	119	29	-90	HDR	FP	TRUE	CODING
PyYM_10_v1	1135059	10_5	SNP	139	83	31	86	HDR	FP	TRUE	CODING
